"analysis","variable","group","statistic","parameter","p_value","conf_low","conf_high","estimate_1","estimate_2"
"two_sample_dataset1","height","sex",-0.694584939309664,997.988895590624,0.487477117896266,-0.669023173068893,0.319225754366954,179.863936167364,180.038834876715
"two_sample_dataset1","mass","sex",15.6132090059868,997.452701965789,2.4882855868361e-49,1.74028611358258,2.2406269063389,75.0300564224064,73.0395999124457
"two_sample_dataset1","metabolite_A","sex",-0.26302846410055,995.992082023259,0.79258304014046,-0.0206434462106355,0.0157635416616606,0.828280185453454,0.830720137727941
"two_sample_dataset1","metabolite_B","sex",-0.25129637213474,997.700020015544,0.801636727489515,-0.0414391170433768,0.0320306356461088,1.6592929356191,1.66399717631774
"two_sample_dataset1","metabolite_C","sex",-0.622765666408566,997.999758481137,0.533580795265434,-0.0257899998445027,0.0133641228301493,0.27874190196355,0.284954840470727
"two_sample_dataset1","metabolite_D","sex",-1.66318503441656,995.798391063767,0.0965900670863962,-0.226149349679173,0.0186609087942375,4.90599810965246,5.00974233009493
"two_sample_dataset1","metabolite_E","sex",-1.72361993814608,995.644916319233,0.0850869200650974,-0.460416080955977,0.0298198136129107,10.0890277868565,10.3043259205281
"two_sample_dataset1","disease_score","sex",0.131690395144583,997.380969446928,0.89525574237314,-0.548221158232445,0.627095073545128,-0.248326388851529,-0.28776334650787
"two_sample_dataset1","height","smoker",-0.32314759031561,557.017426486569,0.746704743855248,-0.639966760187503,0.459145247819135,179.923623497088,180.014034253272
"two_sample_dataset1","mass","smoker",-2.5415569024258,584.239371610717,0.0112932868853393,-0.694977557721456,-0.0890818709767291,73.9117005291822,74.3037302435313
"two_sample_dataset1","metabolite_A","smoker",0.449370346960475,612.196187270556,0.65332356360318,-0.0149534466462158,0.0238273206864351,0.830867475836638,0.826430538816528
"two_sample_dataset1","metabolite_B","smoker",0.59917646455991,611.649950531898,0.549277073851215,-0.0272680115905748,0.0512127135747467,1.66534921666567,1.65337686567359
"two_sample_dataset1","metabolite_C","smoker",-0.192081820572083,626.025180282096,0.847740403433996,-0.0227468141913387,0.0186934108352367,0.281228333337128,0.283255035015179
"two_sample_dataset1","metabolite_D","smoker",-1.41284641016686,591.994297898161,0.158226409771212,-0.228020387640376,0.0372152864134567,4.92849457595458,5.02389712656804
"two_sample_dataset1","metabolite_E","smoker",-1.34178943430475,594.36062902467,0.180176663163394,-0.446343237295106,0.084006008490419,10.1409110499756,10.322079664378
"two_sample_dataset1","disease_score","smoker",-7.51371828199983,592.636001509497,2.12985843854486e-13,-2.9868252540584,-1.7489607590145,-0.99976324365712,1.36812976287933
"two_sample_dataset1","height","drinker",-0.297973137334555,548.838927351247,0.765836429873362,-0.609859237855236,0.449204883944677,179.893564198987,179.973891375942
"two_sample_dataset1","mass","drinker",0.267069290968926,512.928499145973,0.789523153079325,-0.266751497129851,0.350686528148051,74.0631382571137,74.0211707416046
"two_sample_dataset1","metabolite_A","drinker",-0.357116844832549,522.540984867476,0.721148509669924,-0.0235471115793306,0.0163030060568405,0.826885872924783,0.830507925686028
"two_sample_dataset1","metabolite_B","drinker",-0.0642004421370416,520.136674049006,0.948835290683982,-0.0416873040072138,0.0390488693432755,1.66069728529544,1.66201650262741
"two_sample_dataset1","metabolite_C","drinker",0.109806007251655,504.534635347942,0.912606887724074,-0.0206198706192646,0.0230612109402435,0.282735908011519,0.281515237851029
"two_sample_dataset1","metabolite_D","drinker",0.837472639748902,519.131738713013,0.402712328975313,-0.0773157507487058,0.192214981812948,4.99945258650833,4.94200297097621
"two_sample_dataset1","metabolite_E","drinker",0.831086026823728,521.259343072096,0.406305550126046,-0.155411616913847,0.383320445568968,10.2791672389705,10.1652128246429
"two_sample_dataset1","disease_score","drinker",0.212603174667476,478.177700662982,0.831727094831751,-0.600740194634285,0.746510641118787,-0.215461173456451,-0.288346396698702
